arm,primitive,imitation_mse,stab_violation_rate,f_at_zero_norm,rollout_conv_rate,rollout_median_conv_time,imitation_mae,median_vel_error,n_train_samples,n_rollouts,physics_dt,done_tol
left,reach,1.9723615878319833e-06,0.0,0.0,1.0,1.5666666666666667,0.00044119570520706475,0.0006617153994739056,38163,50,0.016666666666666666,0.05
left,transport,1.3201571391618927e-06,0.0,0.0,1.0,1.5833333333333333,0.00041810792754404247,0.0007765539921820164,38850,50,0.016666666666666666,0.05
right,reach,1.572901396684756e-06,0.0,0.0,1.0,1.5833333333333333,0.0004686421889346093,0.0009276107302866876,39654,50,0.016666666666666666,0.05
right,transport,2.6441921363584697e-06,0.0,0.0,1.0,1.5833333333333333,0.0005960855633020401,0.0008495497168041766,38949,50,0.016666666666666666,0.05
