arm,primitive,checkpoint,train_samples,val_samples,best_epoch,best_metric,best_value,imitation_mse_norm,per_step_v_err_median_norm,per_step_v_err_p95_norm,physical_v_err_median_rad_s,physical_v_err_p95_rad_s,V_at_zero,f_at_zero_norm,stability_violation_pct,final_val_imitation_mse_norm
left,reach,data/checkpoints/left_reach.pt,34341,3822,293,val_imit,1.3501281728167669e-06,1.3781784673483344e-06,0.0005578248528763652,0.006734175141900778,0.0006621433421969414,0.008063791319727898,0.0,0.0,0.0,1.3501281728167669e-06
left,transport,data/checkpoints/left_transport.pt,34978,3872,296,val_imit,7.487185484933434e-07,9.475072033637844e-07,0.0006692659808322787,0.005079860333353281,0.0007910490385256708,0.006060942076146603,0.0,0.0,0.0,7.487185484933434e-07
right,reach,data/checkpoints/right_reach.pt,35682,3972,299,val_imit,8.964179869508371e-07,1.1141000868519768e-06,0.000773684645537287,0.005625035613775253,0.0009284216212108731,0.006750043015927076,0.0,0.0,0.0,8.964179869508371e-07
right,transport,data/checkpoints/right_transport.pt,35081,3868,297,val_imit,1.617526095287758e-06,1.8607790934765944e-06,0.0007079377537593246,0.007730328477919102,0.0008491948829032481,0.009276346303522587,0.0,0.0,0.0,1.617526095287758e-06
