model_type,arm,primitive,imitation_mse,stab_violation_rate,f_at_zero_norm,rollout_conv_rate,rollout_median_conv_time,imitation_mae,median_vel_error,n_train_samples,n_rollouts,physics_dt,done_tol
neural,left,reach,1.9723615878319833e-06,0.0,0.0,1.0,1.5666666666666667,0.00044119570520706475,0.0006617153994739056,38163,50,0.016666666666666666,0.05
lpv_linear,left,reach,0.008126338012516499,0.0,0.0,1.0,1.8416666666666666,0.03643152490258217,0.11132292449474335,38163,50,0.016666666666666666,0.05
neural,left,transport,1.3201571391618927e-06,0.0,0.0,1.0,1.5666666666666667,0.00041810792754404247,0.0007765539921820164,38850,50,0.016666666666666666,0.05
lpv_linear,left,transport,0.010362870991230011,0.0,0.0,1.0,1.8333333333333333,0.042460691183805466,0.14340433478355408,38850,50,0.016666666666666666,0.05
neural,right,reach,1.572901396684756e-06,0.0,0.0,1.0,1.6,0.0004686421889346093,0.0009276107302866876,39654,50,0.016666666666666666,0.05
lpv_linear,right,reach,0.01159738376736641,0.0,0.0,1.0,2.091666666666667,0.046280376613140106,0.1441926509141922,39654,50,0.016666666666666666,0.05
neural,right,transport,2.6441921363584697e-06,0.0,0.0,1.0,1.5666666666666667,0.0005960855633020401,0.0008495497168041766,38949,50,0.016666666666666666,0.05
lpv_linear,right,transport,0.011927331797778606,0.0,0.0,1.0,1.8833333333333333,0.04976861923933029,0.14993822574615479,38949,50,0.016666666666666666,0.05
